"Entry_RSI","Armed_RSI","Stop_Loss","Sell_Pct","Avg_Final_Equity","Median_Final_Equity","Win_Rate","Min_Final_Equity"
35,30,0.07,0.5,160166.848150799,113198.537312671,50,54832.353559928
35,30,0.05,1,160038.564500628,129803.166360122,83.3333333333333,83326.8369492053
20,50,0.08,1,160004.643243562,148890.55955718,66.6666666666667,31920.0326600146
20,50,0.08,0.25,159767.295887728,73218.1272992475,33.3333333333333,32898.7277735251
35,30,0.09,0.5,159340.02217231,151263.08067694,66.6666666666667,80509.1121639693
15,35,0.08,0.75,159240.984076945,135273.465484241,83.3333333333333,75545.4347104466
35,30,0.01,0.5,159233.017893903,169475.443395734,66.6666666666667,53067.2469211888
10,50,0.02,0.25,158877.723631887,69665.5999700713,33.3333333333333,23752.1850188655
15,35,0.1,0.25,158753.054407092,189642.267305388,66.6666666666667,54460.7650159967
25,50,0.1,0.25,158652.940790447,88540.198594423,50,52285.2357659399
25,30,0.05,1,158574.516885363,154709.019384888,66.6666666666667,67164.890987581
25,50,0.03,0.25,158345.433241559,106951.588558762,50,77362.7172789824
30,30,0.02,0.75,157878.298982437,82770.7055101314,33.3333333333333,64237.9634473394
35,30,0.01,1,157564.787944611,156757.060332046,66.6666666666667,79731.3105838322
35,30,0.1,1,157550.118140594,106739.234806806,50,49461.3088760853
15,35,0.08,0.25,157480.478405747,124890.870668473,66.6666666666667,79404.880070051
15,35,0.1,0.5,157176.050876431,186805.358997062,66.6666666666667,55496.7111221957
25,50,0.05,0.5,157159.198917397,101286.990461042,50,60897.7105821243
25,40,0.03,0.5,156956.974973379,127499.222506303,66.6666666666667,53004.8283438283
35,30,0.01,0.25,156284.645473448,125086.150291041,50,71494.3278345293
35,30,0.05,0.5,156227.784671432,126064.616575718,66.6666666666667,85458.5635122004
25,50,0.09,0.5,156174.479895704,97240.8966166741,50,49437.979718911
15,35,0.07,0.5,156059.517182599,129696.167179116,100,106249.579641603
25,30,0.06,1,155877.428893,104786.15673008,50,47508.3026768493
35,35,0.1,0.75,155807.917374775,65898.2800389024,33.3333333333333,27969.4833639226
15,50,0.04,0.25,155348.873531536,58657.6209234999,33.3333333333333,26532.6619048029
35,30,0.1,0.5,155347.836983285,139919.175037992,66.6666666666667,50561.3332083559
30,50,0.07,1,155013.390312222,151645.378857617,66.6666666666667,62380.5163718057
40,30,0.07,0.5,154944.466455535,142636.866782283,66.6666666666667,87510.4816488249
35,30,0.09,0.75,154922.284546816,121040.997134222,66.6666666666667,77128.4916494966
10,50,0.06,0.75,154803.311984549,93580.9914126258,33.3333333333333,61618.0238149512
10,50,0.08,0.75,154737.674601648,101318.67335703,50,61015.1417130241
10,35,0.06,0.25,154424.31564271,165135.042378431,66.6666666666667,47397.6223551977
15,35,0.07,0.75,152964.295471104,135567.662759242,100,122223.963146934
10,50,0.07,0.75,152578.302870922,101467.705167828,50,61224.900346778
10,50,0.07,0.25,152565.917591587,90063.1329953428,50,59759.0908571136
10,50,0.06,0.25,152250.850922694,82600.5068056735,33.3333333333333,39077.6788530165
40,35,0.1,0.5,151969.444177186,57208.7252488965,33.3333333333333,33496.9589329147
20,30,0.09,1,151491.673825298,132075.824813051,66.6666666666667,55852.6401268482
20,50,0.05,0.25,151012.97474665,67616.9669142428,33.3333333333333,51986.5881902438
30,50,0.1,1,150508.54138718,104281.099210924,66.6666666666667,79066.9222246886
40,30,0.07,0.25,150487.035820935,141993.766964781,83.3333333333333,71787.8027069736
10,50,0.02,1,150299.082414473,92736.5988220048,50,32802.7049491239
30,50,0.09,0.75,149954.72747565,106575.253674467,66.6666666666667,75245.4289268244
15,50,0.06,0.25,149752.641320817,71466.4978408837,33.3333333333333,25522.757558676
10,50,0.08,0.25,149565.222709708,93317.4936837651,50,51876.5299933657
10,35,0.06,0.5,149463.112812846,153520.601436874,66.6666666666667,47874.6556349409
25,40,0.03,0.25,149094.205979526,120079.531355103,83.3333333333333,46147.5758549321
20,50,0.05,0.5,149045.398194869,75961.1940404268,33.3333333333333,46046.6297822106
15,50,0.06,0.75,148880.117026646,89915.0530536243,16.6666666666667,18518.4184496379
30,30,0.01,0.75,148769.819695813,139465.450335135,83.3333333333333,76568.2858260938
10,35,0.07,1,148761.629466446,136109.71588028,66.6666666666667,52147.4096057701
15,50,0.07,0.25,148746.90931558,75954.2630894012,33.3333333333333,25226.236373666
15,50,0.06,0.5,148418.529471755,78835.2460314377,33.3333333333333,21565.9909918892
15,35,0.08,1,148347.913766209,137374.165566087,83.3333333333333,90926.2116462016
15,35,0.09,0.25,148339.472736387,130339.703671087,66.6666666666667,90138.0312814398
25,50,0.08,1,148116.077032595,117490.340783132,50,64830.0973895264
20,50,0.1,1,147705.065779678,141392.87674619,66.6666666666667,30421.291755569
35,30,0.01,0.75,147578.613044115,140412.255090184,83.3333333333333,88522.3623438144
30,50,0.08,1,147515.317932722,105713.024802979,66.6666666666667,71352.7200315643
40,30,0.08,1,147350.789125367,164578.910344691,66.6666666666667,53756.0107586193
20,35,0.09,0.75,147338.20563278,146054.725161684,83.3333333333333,67351.6139641964
10,50,0.06,0.5,147247.39611944,89178.1824536343,33.3333333333333,60392.8536415195
15,50,0.08,0.5,147047.253395465,88459.2415318386,33.3333333333333,20847.4480561357
15,50,0.07,0.5,147037.660186823,79796.1494590289,33.3333333333333,21247.2504601723
25,40,0.03,0.75,146737.87504959,116715.710164975,50,53334.9894820964
20,35,0.09,0.25,146651.926742626,125561.53014526,83.3333333333333,67833.6708435094
15,50,0.08,0.25,146174.597126335,79453.8574968754,33.3333333333333,24652.3540866703
15,50,0.08,0.75,146010.795548743,89654.1779075186,16.6666666666667,18022.3501145339
15,35,0.06,0.25,145921.735587193,114240.414120755,50,72019.7299011195
15,50,0.07,0.75,145846.321191892,89581.7179489806,16.6666666666667,18216.4277191359
40,50,0.07,0.75,145632.647675572,97102.5465915427,33.3333333333333,74975.5641254693
15,35,0.08,0.5,145571.919239795,120013.713714455,66.6666666666667,74294.336294316
40,50,0.05,0.75,145407.599067595,106871.784034248,66.6666666666667,56262.2755641894
35,30,0.07,0.75,145370.321114268,113229.093847048,66.6666666666667,63944.2729424248
10,50,0.08,0.5,145221.128595714,102855.480692216,50,60507.7702541756
25,50,0.09,0.75,145090.710752095,97448.6870167414,50,54377.0017241463
15,35,0.07,1,144777.489959428,152282.836994199,83.3333333333333,73591.1725477937
20,35,0.08,0.25,144624.137930869,94712.7984225941,50,32362.6640536869
20,30,0.09,0.75,144428.24534982,137146.457671979,83.3333333333333,56371.8275648975
30,30,0.01,0.5,144391.411035883,137148.614604979,83.3333333333333,71349.8422247505
20,50,0.03,0.75,144349.61648636,100046.991649692,50,50098.3578879383
35,30,0.02,1,144203.054556653,127212.824662342,66.6666666666667,71361.7964541554
35,30,0.09,0.25,144142.379687384,108412.929059324,50,55401.8916224623
40,50,0.04,0.75,144051.762648781,81737.0564724016,33.3333333333333,55381.5526252126
30,30,0.06,0.25,143983.561144208,110129.821185475,50,66104.6539553344
10,50,0.07,0.5,143963.114097138,90842.0554112643,33.3333333333333,60648.8416818321
30,30,0.02,0.5,143878.738792783,93570.8691129243,50,60148.7843723857
20,50,0.05,0.75,143824.079139255,79561.3210789422,33.3333333333333,41957.0421601564
