"Period","Total_Saved","Baseline_No_Exit","Stop_3pct","Stop_7pct"
"2000 - 2005 (Dot-Com Bust)",144000,529219.283984542,376358.92381427,345337.241809014
"2004 - 2009 (GFC)",144000,194982.337926388,170082.239316928,122964.029470622
"2008 - 2013 (Recovery)",144000,274970.081740499,264370.957403573,228635.198706419
"2012 - 2017 (Bull Market)",144000,175173.130971909,118597.62586148,118157.369567955
"2016 - 2021 (COVID Crash)",144000,267907.673523366,416238.940682842,355599.474895619
"2021 - 2026 (Modern Era)",130000,189804.950667381,223825.527628081,196928.80845602
