"Strategy","Stop_Loss_Pct","Total_Savings","Final_Equity","Net_Profit","ROI_pct"
"Single_Entry",1,250000,489641.899591286,239641.899591286,95.8567598365142
"Single_Entry",2,250000,960692.951832631,710692.951832631,284.277180733052
"Single_Entry",3,250000,1162821.12680026,912821.126800263,365.128450720105
"Single_Entry",5,250000,1005981.68291354,755981.682913542,302.392673165417
"Single_Entry",7,250000,1068873.96836436,818873.968364359,327.549587345744
"Single_Entry",10,250000,521149.358379024,271149.358379024,108.45974335161
"Single_Entry",15,250000,584822.840719479,334822.840719479,133.929136287792
"Single_Entry",20,250000,530336.665697598,280336.665697598,112.134666279039
"Multiple_Entries",1,250000,438169.161872874,188169.161872874,75.2676647491496
"Multiple_Entries",2,250000,894167.776340796,644167.776340796,257.667110536318
"Multiple_Entries",3,250000,1150848.16806537,900848.168065369,360.339267226148
"Multiple_Entries",5,250000,1037674.01938342,787674.019383424,315.06960775337
"Multiple_Entries",7,250000,1111435.03306563,861435.03306563,344.574013226252
"Multiple_Entries",10,250000,928884.761994898,678884.761994898,271.553904797959
"Multiple_Entries",15,250000,1026528.49884873,776528.498848733,310.611399539493
"Multiple_Entries",20,250000,832459.534912646,582459.534912646,232.983813965058
