"Strategy","Total_Saved","Final_Equity","Net_Profit","ROI_pct","Max_Drawdown_pct"
"Baseline",634000,6440257.63454092,5806257.63454092,915.813507025381,-81.0586409789571
"Model_A_Drawdown",634000,2325513.34147884,1691513.34147884,266.800211589722,-76.6106991169134
"Model_B_Index_SMA",634000,683548.770644039,49548.7706440389,7.81526350852348,-80.7916327822051
"Model_C_Breadth",634000,1611601.34346439,977601.343464389,154.195795499115,-68.3606381997709
