"Period","Total_Saved","Blind_DCA_Monthly","Multiple_Entries","Single_Entry","WIG20_DCA_Monthly"
"2000 - 2005 (Dot-Com Bust)",144000,430884.249199182,233670.142404759,244781.966491795,323296.500788689
"2004 - 2009 (GFC)",144000,201375.063321337,115243.535134029,120203.158420277,170619.590192795
"2008 - 2013 (Recovery)",144000,227587.208328784,255529.841959214,185836.318324327,149717.630382538
"2012 - 2017 (Bull Market)",144000,182872.075360358,169852.17112354,163478.645820594,165153.2290411
"2016 - 2021 (COVID Crash)",144000,203678.190269411,337323.985949397,174089.435457802,180848.82925415
"2021 - 2026 (Modern Era)",130000,169843.786708474,201693.067037201,147689.438106775,270158.712966442
