"Period","Entry_RSI","Armed_RSI","Stop_Loss","Sell_Pct","Final_Equity"
"2000 - 2005 (Dot-Com Bust)",35,30,0.02,0.25,104321.096923563
"2000 - 2005 (Dot-Com Bust)",40,30,0.02,0.25,93271.4785349762
"2000 - 2005 (Dot-Com Bust)",10,35,0.02,0.25,40445.8807558646
"2000 - 2005 (Dot-Com Bust)",15,35,0.02,0.25,37029.9375537648
"2000 - 2005 (Dot-Com Bust)",20,35,0.02,0.25,41371.4405149041
"2000 - 2005 (Dot-Com Bust)",25,35,0.02,0.25,82995.335589913
"2000 - 2005 (Dot-Com Bust)",30,35,0.02,0.25,111890.840419989
"2000 - 2005 (Dot-Com Bust)",35,35,0.02,0.25,111265.370737036
"2000 - 2005 (Dot-Com Bust)",40,35,0.02,0.25,117209.663236544
"2000 - 2005 (Dot-Com Bust)",10,40,0.02,0.25,67930.8737590295
"2000 - 2005 (Dot-Com Bust)",15,40,0.02,0.25,67930.8737590295
"2000 - 2005 (Dot-Com Bust)",20,40,0.02,0.25,117806.405037443
"2000 - 2005 (Dot-Com Bust)",25,40,0.02,0.25,81236.8655808016
"2000 - 2005 (Dot-Com Bust)",30,40,0.02,0.25,65308.022151806
"2000 - 2005 (Dot-Com Bust)",35,40,0.02,0.25,28123.7360265958
"2000 - 2005 (Dot-Com Bust)",40,40,0.02,0.25,59284.3231209021
"2000 - 2005 (Dot-Com Bust)",10,45,0.02,0.25,126109.514752548
"2000 - 2005 (Dot-Com Bust)",15,45,0.02,0.25,63739.2294924762
"2000 - 2005 (Dot-Com Bust)",20,45,0.02,0.25,78703.2929638612
"2000 - 2005 (Dot-Com Bust)",25,45,0.02,0.25,101233.303491425
"2000 - 2005 (Dot-Com Bust)",30,45,0.02,0.25,109105.274607611
"2000 - 2005 (Dot-Com Bust)",35,45,0.02,0.25,86269.8314850855
"2000 - 2005 (Dot-Com Bust)",40,45,0.02,0.25,76535.7582129904
"2000 - 2005 (Dot-Com Bust)",10,50,0.02,0.25,445152.063211838
"2000 - 2005 (Dot-Com Bust)",15,50,0.02,0.25,441775.088698809
"2000 - 2005 (Dot-Com Bust)",20,50,0.02,0.25,486589.531810832
"2000 - 2005 (Dot-Com Bust)",25,50,0.02,0.25,168565.899198768
"2000 - 2005 (Dot-Com Bust)",30,50,0.02,0.25,176798.073745467
"2000 - 2005 (Dot-Com Bust)",35,50,0.02,0.25,230578.201179136
"2000 - 2005 (Dot-Com Bust)",40,50,0.02,0.25,291955.138969093
"2000 - 2005 (Dot-Com Bust)",10,55,0.02,0.25,62935.3808390488
"2000 - 2005 (Dot-Com Bust)",15,55,0.02,0.25,29086.7461873092
"2000 - 2005 (Dot-Com Bust)",20,55,0.02,0.25,38512.0281611609
"2000 - 2005 (Dot-Com Bust)",25,55,0.02,0.25,61453.8036199961
"2000 - 2005 (Dot-Com Bust)",30,55,0.02,0.25,47680.7632892798
"2000 - 2005 (Dot-Com Bust)",35,55,0.02,0.25,52115.342998551
"2000 - 2005 (Dot-Com Bust)",40,55,0.02,0.25,66054.2968782527
"2000 - 2005 (Dot-Com Bust)",10,60,0.02,0.25,289205.674979157
"2000 - 2005 (Dot-Com Bust)",15,60,0.02,0.25,289205.674979157
"2000 - 2005 (Dot-Com Bust)",20,60,0.02,0.25,289205.674979157
"2000 - 2005 (Dot-Com Bust)",25,60,0.02,0.25,101936.16351989
"2000 - 2005 (Dot-Com Bust)",30,60,0.02,0.25,117313.001862508
